web-scraper-order,web-scraper-start-url,as24_a1,as24_a1-href,title_raw,price_raw,mileage_raw,transmission_raw,first_release_raw,drive_raw,fuel_raw,ps_raw,equipment_raw,fuel_consumption_raw,condition_raw,new_price_raw,garantie_raw,Accident,cylinder_raw,color_inside_raw,color_outside_raw,emty_weight_raw,motor_vehicle_inspection_raw,description_raw,short_description_raw,car_data_raw,seller_raw
"1733064450-1","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=5","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-11987594","AUDI A1 Sportback 30 TFSI","CHF 22'900.–","38'520 km","Halbautomatisches Getriebe","03.2022","Vorderradantrieb","Benzin","110 PS (81 kW)","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusKlima: 2-Zonen-KomfortklimaautomatikLenkrad: Lederlenkrad im 3-Speichen-Design mit Multifunktion plusLicht: LED-Scheinwerfer und LED-Heckleuchten mit dynamischem BlinklichtLicht: Scheinwerfer-ReinigungsanlageMedia: Audi Smartphone InterfaceMittelarmlehne vornePaket: InfotainmentpaketAudi virtual cockpitLenkrad: Lederlenkrad im 3-Speichen-Design mit Multifunktion plusMedia: Audi Smartphone InterfaceMedia: Audi SoundsystemMedia: Vorbereitung für MMI Navigation plusPaket: TechnikpaketAssist: Einparkhilfe hintenAssist: GeschwindigkeitsregelanlageAussenspiegel elektrisch einstell-, beheiz- und anklappbarInnenspiegel automatisch abblendbarLicht: LED-Scheinwerfer und LED-Heckleuchten mit dynamischem BlinklichtSitze: Vordersitze heizbarRäder: Radschrauben mit Diebstahlsicherung und RadlöseerkennungArrow down iconMehr anzeigen","5.8 l/100 km","","","Ja","14.11.2024","","","","","Ja","","**Fahrzeug auf Transport – Lieferung in Kürze**","03.2022","Car Trade24"
"1733064452-2","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=5","","https://www.autoscout24.ch/de/d/audi-a1-allstreet-30-tfsi-s-tronic-11999135","AUDI A1 allstreet 30 TFSI S-tronic","CHF 28'570.–","8'000 km","Automatikgetriebe","09.2023","Vorderradantrieb","Benzin","110 PS (81 kW)","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusAssist: GeschwindigkeitsregelanlageAudi virtual cockpitAussenspiegel elektrisch einstell-, beheiz- und anklappbarAussenspiegel in WagenfarbeBordwerkzeug und WagenheberInnenspiegel automatisch abblendbarKlima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Lackierung: Dachkuppel in KontrastfarbeArrow down iconMehr anzeigen","6.9 l/100 km","","","Ja","12.07.2024","","","","","Ja","","Klimaautomatik, Tempomat, Sitzheizung","09.2023","AMAG Frauenfeld (Occasionen / SKODA)"
"1733064455-3","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=5","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-s-line-attraction-11987486","AUDI A1 Sportback 30 TFSI S Line Attraction","CHF 41'700.–","3'000 km","Automatikgetriebe","09.2024","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: RückfahrkameraAssist: SpurwechselwarnungDachhimmel in Stoff schwarzDekor: Interieurelemente in KunstlederEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugKlima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Mittelarmlehne vornePaket: AssistenzpaketPaket: S line mit Sportsitz (Stoff Puls / Kunstleder mono.pur 550- Kombination schwarz)Dachhimmel in Stoff schwarzEinstiegsleisten mit Aluminiumeinlegern vorne, unbeleuchtet, mit S-SchriftzugFussmatten vorne und hintenSitze: Sportsitze vorneArrow down iconMehr anzeigen","5.7 l/100 km","","","Ja","Nein","","","","","Ja","","","09.2024","AMAG Baden"
"1733064457-4","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=5","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-s-line-attraction-11987489","AUDI A1 Sportback 30 TFSI S Line Attraction","CHF 41'700.–","3'000 km","Automatikgetriebe","09.2024","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: RückfahrkameraAssist: SpurwechselwarnungDachhimmel in Stoff schwarzDekor: Interieurelemente in KunstlederEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugKlima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Mittelarmlehne vornePaket: AssistenzpaketPaket: S line mit Sportsitz (Stoff Puls / Kunstleder mono.pur 550- Kombination schwarz)Dachhimmel in Stoff schwarzEinstiegsleisten mit Aluminiumeinlegern vorne, unbeleuchtet, mit S-SchriftzugFussmatten vorne und hintenSitze: Sportsitze vorneArrow down iconMehr anzeigen","5.7 l/100 km","","","Ja","Nein","","","","","Ja","","","09.2024","AMAG Baden"
"1733064459-5","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=5","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-s-line-attraction-11995199","AUDI A1 Sportback 30 TFSI S Line Attraction","CHF 40'360.–","50 km","Automatikgetriebe","Neues Fahrzeug","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: Audi pre sense basicAssist: RückfahrkameraAssist: SpurwechselwarnungAudi drive selectDachhimmel in Stoff schwarzDekor: Aluminiumoptik im InterieurDekor: Interieurelemente in KunstlederEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugKlima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Arrow down iconMehr anzeigen","5.7 l/100 km","","","Ja","Nein","","","","","Ja","[9ZE] Audi Phone Box
[4ZP] Optikpaket schwarz plus
[EA5] Anschlussgarantie 4. Jahr, max. 80'000 km, (netto)
[A41] Audi Swiss Service Package+
[3GD] Gepäckraumpaket
[Z70E] chronosgrau-mythosschwarz
[GB1] ...","AUDI TEAM, AMAG ZUG, 041 748 57 95, Für Besichtigung bitte Termin vereinbaren","Neues Fahrzeug","AMAG Audi Center Zug"
"1733064462-6","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=5","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-advanced-11996186","AUDI A1 Sportback 30 TFSI advanced","CHF 22'690.–","32'500 km","Automatikgetriebe","02.2019","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAluminium-ApplikationenAssist: Einparkhilfe hintenAssist: RückfahrkameraAudi Smartphone InterfaceAudi Sound SystemAudi pre sense basicAudi virtual cockpitAussenspiegel rechts und links elektrisch verstell-, beheiz- und anklappbar,Dachhimmel schwarzGarantie: Audi Garantie: 4 Jahre oder 80'000 km (ab 1. Inv.)Arrow down iconMehr anzeigen","6.7 l/100 km","","","Ja","Nein","","","","","Ja","[5MB] Dekoreinlagen Polygonstruktur Feinlack schiefergrau
Winterräder
[0UC] Akzentflächen Satinlack gelb

***Mitarbeiterfahrzeug, wird aktuell gefahren, Probefahrten auf Voranmeldung*** **10 ...","Rückfahrkamera / Navi / Sitzheizung / Bang & Olufsen Soundsystem / ab MFK","02.2019","AMAG Automobil und Motoren AG"
"1733064464-7","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=5","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-12002220","AUDI A1 Sportback 30 TFSI Attraction","CHF 28'900.–","50 km","Automatikgetriebe","Neues Fahrzeug","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusDekor: Aluminiumoptik im InterieurEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugGarantie: Audi Garantie: 4 Jahre oder 80'000 km (ab 1. Inv.)Klima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Mittelarmlehne vornePaket: LichtpaketPolster : advanced mit Sportsitz (Stoff Novum)Räder: Aluminium-Gussräder - 16 Zoll - im 10-Speichen-DesignArrow down iconMehr anzeigen","5.6 l/100 km","","","Ja","Nein","","","","","Nein","","CH-Ausführung / Gratisservice / Tageszulassung","Neues Fahrzeug","AMAG Bern"
"1733064466-8","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=5","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-12002336","AUDI A1 Sportback 30 TFSI Attraction","CHF 29'900.–","50 km","Automatikgetriebe","Neues Fahrzeug","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusDekor: Aluminiumoptik im InterieurEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugGarantie: Audi Garantie: 4 Jahre oder 80'000 km (ab 1. Inv.)Klima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Lackierung: Metallic-LackierungMittelarmlehne vornePaket: LichtpaketPolster : advanced mit Sportsitz (Stoff Novum)Arrow down iconMehr anzeigen","5.6 l/100 km","","","Ja","Nein","","","","","Nein","","CH-Ausführung / Gratisservice / Tageszulassung","Neues Fahrzeug","AMAG Bern"
"1733064469-9","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=5","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-12002337","AUDI A1 Sportback 30 TFSI Attraction","CHF 29'900.–","50 km","Automatikgetriebe","Neues Fahrzeug","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusDekor: Aluminiumoptik im InterieurEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugGarantie: Audi Garantie: 4 Jahre oder 80'000 km (ab 1. Inv.)Klima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Lackierung: Metallic-LackierungMittelarmlehne vornePaket: LichtpaketPolster : advanced mit Sportsitz (Stoff Novum)Arrow down iconMehr anzeigen","5.6 l/100 km","","","Ja","Nein","","","","","Nein","","CH-Ausführung / Gratisservice / Tageszulassung","Neues Fahrzeug","AMAG Bern"
"1733064471-10","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=5","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-12002110","AUDI A1 Sportback 30 TFSI Attraction","CHF 37'800.–","28 km","Automatikgetriebe","Neues Fahrzeug","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: Audi pre sense basicAssist: RückfahrkameraAssist: SpurwechselwarnungDachhimmel in Stoff schwarzEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugFahrwerk: SportfahrwerkGarantie: Audi Garantie: 5 Jahre oder 100'000 km (ab 1. Inv.)Klima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Lackierung: Dachkuppel in KontrastfarbeArrow down iconMehr anzeigen","5.7 l/100 km","","","Ja","Nein","","","","","Ja","","Assistenzpaket pro, LED Scheinwerfer, MMI Navigationssystem plus und vieles mehr","Neues Fahrzeug","Furrer Auto Lachen AG"
"1733064473-11","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=5","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-12014893","AUDI A1 Sportback 30 TFSI Attraction","CHF 26'900.–","20 km","Automatikgetriebe","Neues Fahrzeug","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusAssist: RückfahrkameraEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugMittelarmlehne vornePolster: advanced mit Sportsitz (Stoff Derby)Sitze: Sportsitze vorneMedia: 6 LautsprecherSitze: Lendenwirbelstütze, manuell einstellbar in VordersitzlehnenSerienmässige Ausstattung3-Punkt-Sicherheitsgurte auf allen PlätzenABSAirbag: Airbag Beifahrer deaktivierbarAirbag: Airbag FahrerArrow down iconMehr anzeigen","5.5 l/100 km","","","Ja","Nein","","","","","Ja","","","Neues Fahrzeug","AMAG Kreuzlingen"
"1733064475-12","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=5","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-12025642","AUDI A1 Sportback 30 TFSI Attraction","CHF 23'990.–","27'100 km","Schaltgetriebe manuell","06.2021","Vorderradantrieb","Benzin","110 PS (81 kW)","AusstattungenOptionale AusstattungAssist: BerganfahrassistentAssist: Einparkhilfe hintenAssist: GeschwindigkeitsregelanlageAudi virtual cockpitAussenspiegel elektrisch einstell-, beheiz- und anklappbarEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugInnenspiegel automatisch abblendbarLenkrad: Lederlenkrad im 3-Speichen-Design mit Multifunktion plusLicht: LED-Scheinwerfer und LED-Heckleuchten mit dynamischem BlinklichtMedia: Audi Smartphone InterfaceArrow down iconMehr anzeigen","5.7 l/100 km","","","Ja","Nein","","","","","Nein","[NZ4] Audi connect Notruf & Service
[IT4] Audi connect Navigation & Infotainment (3 Jahre)
[EL5] Audi connect Remote & Control (MMI Navigation Plus)
[EA8] Anschlussgarantie 4. und 5. Jahr, max. ...","","06.2021","AMAG Occasions Center"
"1733064478-13","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=5","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-11994373","AUDI A1 Sportback 30 TFSI Attraction","CHF 29'900.–","6'000 km","Automatikgetriebe","06.2024","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusAssist: RückfahrkameraEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugGarantie: Audi Garantie: 4 Jahre oder 80'000 km (ab 1. Inv.)Klima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Mittelarmlehne vorneRäder: Aluminium-Gussräder - 17 Zoll - im 5-V-Speichen-Design, kontrastgrau, teilpoliertSerienmässige Ausstattung3-Punkt-Sicherheitsgurte auf allen PlätzenABSArrow down iconMehr anzeigen","5.6 l/100 km","","","Ja","Nein","","","","","Ja","","","06.2024","Autocorner Audi Sion"
"1733064480-14","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=5","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-s-line-attraction-11994388","AUDI A1 Sportback 30 TFSI S Line Attraction","CHF 34'900.–","5'000 km","Automatikgetriebe","06.2024","Vorderradantrieb","Benzin","110 PS (81 kW)","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusAssist: RückfahrkameraAssist: SpurwechselwarnungDachhimmel in Stoff schwarzEntfall Leistungs- / Technologie-SchriftzugGarantie: Audi Garantie: 4 Jahre oder 80'000 km (ab 1. Inv.)Klima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Lackierung: Dachkuppel in KontrastfarbeLicht: Fernlicht-AssistentArrow down iconMehr anzeigen","5.7 l/100 km","","","Ja","Nein","","","","","Ja","[7HB] Decór: Elements intérieur cuir artificiel
[1X0E] gris flèche-noir mythe
[C5I] Roues alu 7.5J x 17, design 5 double-branches, gris graphit, pneus 215/45 R17
[4ZP] Paquet optique noir plus ...","Superbe équipement - valeur à neuf : 45'600 frs","06.2024","Autocorner Audi Sion"
"1733064495-15","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=5","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-11994956","AUDI A1 Sportback 30 TFSI Attraction","CHF 30'900.–","4'000 km","Automatikgetriebe","09.2024","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusAssist: RückfahrkameraAudi drive selectEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugGarantie: Audi Garantie: 4 Jahre oder 80'000 km (ab 1. Inv.)Klima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Licht: Fernlicht-AssistentMittelarmlehne vornePaket: Kontrastpaket 2Arrow down iconMehr anzeigen","5.6 l/100 km","","","Ja","Nein","","","","","Ja","","","09.2024","Autocorner Audi Sion"
"1733064498-16","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=5","","https://www.autoscout24.ch/de/d/audi-a1-10-tfsi-design-12010687","AUDI A1 1.0 TFSI Design","CHF 15'900.–","47'000 km","Schaltgetriebe manuell","04.2018","Vorderradantrieb","Benzin","95 PS (70 kW)","AusstattungenOptionale AusstattungAblagenpaketAirbag: Airbag Beifahrer deaktivierbarAssist: Einparkhilfe hintenAudi Sound SystemAussenlackierung mit DachkuppelConnectivity PaketMedia: Audi music interfaceMedia: Bluetooth-SchnittstelleVorbereitung NavigationssystemKomfortpaketAblagenpaketAussenspiegel rechts und linksBordcomputerLicht: Licht- und RegensensorMittelarmlehne vorneLED InnenlichtpaketLicht: Licht- und RegensensorMedia: Audi music interfaceArrow down iconMehr anzeigen","4.2 l/100 km","","","Ja","01.10.2018","","","","","Nein","","","04.2018","Abt Automobile AG Premium Occasion Center"
"1733064500-17","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=5","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-advanced-attraction-12003847","AUDI A1 Sportback 30 TFSI advanced Attraction","CHF 26'999.–","19'500 km","Automatikgetriebe","12.2022","Vorderradantrieb","Benzin","110 PS (81 kW)","AusstattungenOptionale AusstattungAssist: Einparkhilfe hintenAssist: GeschwindigkeitsregelanlageAudi virtual cockpitAussenspiegel elektrisch einstell-, beheiz- und anklappbarDekor: Aluminiumoptik im InterieurEntfall Leistungs- / Technologie-SchriftzugInnenspiegel automatisch abblendbarLenkrad: Lederlenkrad im 3-Speichen-Design mit Multifunktion plusLicht: LED-Scheinwerfer und LED-Heckleuchten mit dynamischem BlinklichtMedia: Audi Smartphone InterfaceArrow down iconMehr anzeigen","6 l/100 km","","","Ja","15.11.2022","","","","","Nein","","Swiss Service Package bis 01.12.2032/ 100’000km","12.2022","AMAG Automobil und Motoren AG"
"1733064503-18","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=5","","https://www.autoscout24.ch/de/d/audi-a1-sportback-14-tfsi-ambition-12002197","AUDI A1 Sportback 1.4 TFSI Ambition","CHF 9'980.–","190'060 km","Automatikgetriebe","09.2014","Vorderradantrieb","Benzin","140 PS (103 kW)","AusstattungenOptionale Ausstattung3-Sitz-RückbankAlu-Räder 7,5Jx17 5-Arm-DesignMedia style PaketMedia: Digitaler Radioempfang (DAB)Multifunktions-SportlederlenkradPaket ProlineMedia style PaketMultifunktions-SportlederlenkradSitze: Vordersitze heizbarXenon Plus-Lichtanlage inkl. LEDRegensensor und automatisch abblendbarerSitze: Vordersitze heizbarXenon Plus-Lichtanlage inkl. LEDSerienmässige Ausstattung3-Speichen-SportlederlenkradArrow down iconMehr anzeigen","4.9 l/100 km","","","Ja","07.02.2024","","","","","Ja","Ablieferungspauschale ist nicht inbegriffen, welches eine Tankfüllung, eine Autobahnvignette, Reinigung innen und aussen sowie die administrativen Arbeiten für die Immatrikulation des Fahrzeuges beinhaltet ...","Parksensoren hinten, Sitzheizung, Bluetooth, uvm.","09.2014","Garage H.R. Baumgartner AG"
"1733064505-19","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=5","","https://www.autoscout24.ch/de/d/audi-a1-sport-14-tfsi-ambition-s-tronic-12019246","AUDI A1 Sport 1.4 TFSI Ambition S-tronic","CHF 9'990.–","173'000 km","Halbautomatisches Getriebe","09.2011","Vorderradantrieb","Benzin","185 PS (136 kW)","AusstattungenSerienmässige Ausstattung3-Speichen-SportlederlenkradAirbag: Airbag Fahrer und BeifahrerAktivkohlefilterAlu-Räder 7,5Jx17 5-Arm-DesignAluminium-ApplikationenAntiblockiersystem (ABS)Antriebsschlupfregelung (ASR)Armauflagen Türen in KunstlederAschenbecher und ZigarettenanzünderAssist: BerganfahrassistentArrow down iconMehr anzeigen","5.9 l/100 km","","","Nein","06.02.2023","","","","","Ja","","Nos Engagements 
-12 Mois de Garantie possible
-leasing/Credit 
-Reprise de votre véhicule 
-Expertisée","09.2011","JBS Automobiles Sàrl"
