web-scraper-order,web-scraper-start-url,as24_a1,as24_a1-href,title_raw,price_raw,mileage_raw,transmission_raw,first_release_raw,drive_raw,fuel_raw,ps_raw,equipment_raw,fuel_consumption_raw,condition_raw,new_price_raw,garantie_raw,Accident,cylinder_raw,color_inside_raw,color_outside_raw,emty_weight_raw,motor_vehicle_inspection_raw,description_raw,short_description_raw,car_data_raw,seller_raw
"1733064557-40","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=4","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-12016984","AUDI A1 Sportback 30 TFSI Attraction","CHF 31'530.–","10 km","Automatikgetriebe","Neues Fahrzeug","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusAssist: RückfahrkameraKomfortschlüssel (ohne Safelock)Lenkrad: Sportkontur-Lederlenkrad im 3-Speichen-Design unten abgeflacht mit Multifunktion plusMittelarmlehne vornePolster : advanced mit Sportsitz (Stoff Novum)Räder: Aluminium-Gussräder - 18 Zoll - Audi Sport, 5-Y-Speichen, schwarz metallic, glanzgedreht,Sitze: Sportsitze vorneMedia: 6 LautsprecherSitze: Lendenwirbelstütze, manuell einstellbar in VordersitzlehnenSerienmässige Ausstattung3-Punkt-Sicherheitsgurte auf allen PlätzenABSArrow down iconMehr anzeigen","5.7 l/100 km","","","Ja","Nein","","","","","Ja","[9VD] Audi Sound System
[A41] Audi Swiss Service Package+
[3GD] Paquet coffre à bagages
[5MB] Applications décoratives en style polygone laqué fine gris ardoise
[0UK] Surfaces accentuées laqué ...","","Neues Fahrzeug","AMAG Châtelaine"
"1733064562-41","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=3","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-12016985","AUDI A1 Sportback 30 TFSI Attraction","CHF 31'530.–","10 km","Automatikgetriebe","Neues Fahrzeug","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusAssist: RückfahrkameraKomfortschlüssel (ohne Safelock)Lenkrad: Sportkontur-Lederlenkrad im 3-Speichen-Design unten abgeflacht mit Multifunktion plusMittelarmlehne vornePolster : advanced mit Sportsitz (Stoff Novum)Räder: Aluminium-Gussräder - 18 Zoll - Audi Sport, 5-Y-Speichen, schwarz metallic, glanzgedreht,Sitze: Sportsitze vorneMedia: 6 LautsprecherSitze: Lendenwirbelstütze, manuell einstellbar in VordersitzlehnenSerienmässige Ausstattung3-Punkt-Sicherheitsgurte auf allen PlätzenABSArrow down iconMehr anzeigen","5.7 l/100 km","","","Ja","Nein","","","","","Ja","[EA5] Extension de garantie +1 an, max. 80'000 km, (netto)
[9VD] Audi Sound System
[A41] Audi Swiss Service Package+
[3GD] Paquet coffre à bagages
[5MB] Applications décoratives en style polygone ...","","Neues Fahrzeug","AMAG Châtelaine"
"1733064564-42","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=3","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-s-line-attraction-12016994","AUDI A1 Sportback 30 TFSI S Line Attraction","CHF 34'170.–","10 km","Automatikgetriebe","Neues Fahrzeug","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusAssist: RückfahrkameraEntfall Leistungs- / Technologie-SchriftzugKlima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Lenkrad: Sportkontur-Lederlenkrad im 3-Speichen-Design unten abgeflacht mit Multifunktion plusMittelarmlehne vornePolster : advanced mit Sportsitz (Stoff Novum)Sitze: Sportsitze vorneMedia: 6 LautsprecherSitze: Lendenwirbelstütze, manuell einstellbar in VordersitzlehnenSerienmässige Ausstattung3-Punkt-Sicherheitsgurte auf allen PlätzenArrow down iconMehr anzeigen","5.7 l/100 km","","","Ja","Nein","","","","","Ja","[B10E] rouge progressif -noir mythe
[EA5] Extension de garantie +1 an, max. 80'000 km, (netto)
[9VD] Audi Sound System
[A41] Audi Swiss Service Package+
[3GD] Paquet coffre à bagages
[5MB] ...","","Neues Fahrzeug","AMAG Châtelaine"
"1733064566-43","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=3","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-s-line-attraction-12008073","AUDI A1 Sportback 30 TFSI S Line Attraction","CHF 34'900.–","10 km","Automatikgetriebe","10.2024","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusAssist: RückfahrkameraEntfall Leistungs- / Technologie-SchriftzugKomfortschlüssel (ohne Safelock)Lenkrad: Sportkontur-Lederlenkrad im 3-Speichen-Design unten abgeflacht mit Multifunktion plusMittelarmlehne vornePolster : advanced mit Sportsitz (Stoff Novum)Sitze: Sportsitze vorneMedia: 6 LautsprecherSitze: Lendenwirbelstütze, manuell einstellbar in VordersitzlehnenSerienmässige Ausstattung3-Punkt-Sicherheitsgurte auf allen PlätzenABSArrow down iconMehr anzeigen","5.7 l/100 km","","","Ja","Nein","","","","","Nein","","STOP AFFAIRE !! Leasing à 2.99%","10.2024","AMAG Nyon"
"1733064568-44","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=3","","https://www.autoscout24.ch/de/d/audi-a1-sportback-12-tfsi-admired-11989756","AUDI A1 Sportback 1.2 TFSI admired","CHF 6'800.–","184'900 km","Schaltgetriebe manuell","11.2013","Vorderradantrieb","Benzin","86 PS (63 kW)","AusstattungenOptionale AusstattungAirbag: Airbag Beifahrer deaktivierbarConnectivity PaketMedia: Audi music interfaceMedia: Bluetooth-SchnittstelleVorbereitung NavigationssystemFrontscheibe mit Color-BandGepäckraumpaketMedia: Digitaler Radioempfang (DAB)Mittelarmlehne vornePark Distance Control hintenReifendruck-KontrollanzeigeSchwarze AussenoptikSitze: Vordersitze heizbarArrow down iconMehr anzeigen","5.1 l/100 km","","","Ja","10.12.2024","","","","","Ja","","","11.2013","Auto-Gretener AG"
"1733064571-45","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=3","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-s-line-attraction-12008845","AUDI A1 Sportback 30 TFSI S Line Attraction","CHF 44'490.–","50 km","Automatikgetriebe","Neues Fahrzeug","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: Audi pre sense basicAssist: RückfahrkameraAssist: SpurwechselwarnungAudi drive selectDachhimmel in Stoff schwarzDekor: Aluminiumoptik im InterieurDekor: Interieurelemente in KunstlederEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugKlima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Arrow down iconMehr anzeigen","5.7 l/100 km","","","Ja","Nein","","","","","Nein","","AUDI TEAM, AMAG ZUG, 041 748 57 95, Für Besichtigung bitte Termin vereinbaren","Neues Fahrzeug","AMAG Audi Center Zug"
"1733064573-46","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=3","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-s-line-attraction-12008848","AUDI A1 Sportback 30 TFSI S Line Attraction","CHF 37'900.–","50 km","Automatikgetriebe","Neues Fahrzeug","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusAssist: RückfahrkameraDachhimmel in Stoff schwarzKlima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Lenkrad: Lederlenkrad im 3-Speichen-Design mit Multifunktion plus und SchaltwippenMittelarmlehne vornePaket: S line mit Sportsitz (Stoff Puls / Kunstleder mono.pur 550- Kombination schwarz)Dachhimmel in Stoff schwarzEinstiegsleisten mit Aluminiumeinlegern vorne, unbeleuchtet, mit S-SchriftzugFussmatten vorne und hintenSitze: Sportsitze vornePrivacy-Verglasung (Scheiben abgedunkelt)Räder: Aluminium-Gussräder - 17 Zoll - im 5-V-Speichen-Design, kontrastgrau, teilpoliertArrow down iconMehr anzeigen","5.7 l/100 km","","","Ja","Nein","","","","","Nein","","AUDI TEAM, AMAG ZUG, 041 748 57 95, Für Besichtigung bitte Termin vereinbaren","Neues Fahrzeug","AMAG Audi Center Zug"
"1733064575-47","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=3","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-12021720","AUDI A1 Sportback 30 TFSI Attraction","CHF 32'900.–","15 km","Automatikgetriebe","Neues Fahrzeug","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusAssist: RückfahrkameraDachhimmel in Stoff schwarzEntfall Leistungs- / Technologie-SchriftzugGarantie: Audi Garantie: 4 Jahre oder 80'000 km (ab 1. Inv.)Klima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Lackierung: Dachkuppel in KontrastfarbeMittelarmlehne vornePaket: S line mit Sportsitz (Stoff Puls / Kunstleder mono.pur 550- Kombination schwarz)Dachhimmel in Stoff schwarzEinstiegsleisten mit Aluminiumeinlegern vorne, unbeleuchtet, mit S-SchriftzugFussmatten vorne und hintenSitze: Sportsitze vorneArrow down iconMehr anzeigen","5.6 l/100 km","","","Ja","Nein","","","","","Ja","[WF6] Paquet Technologie
[A41] Audi Swiss Service Package+
[9VD] Audi Sound System
[TV] noir - argent fin (S line)
[H10E] gris manhattan-noir mythe
[3GD] Paquet coffre à bagages
[0VB] ...","","Neues Fahrzeug","Autocorner Audi Lutry"
"1733064578-48","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=3","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-advanced-12002084","AUDI A1 Sportback 30 TFSI advanced","CHF 22'900.–","35'900 km","Automatikgetriebe","08.2020","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: Adaptiver GeschwindigkeitsassistentAssist: ParkassistentAudi virtual cockpitAussenspiegel elektrisch einstell-, beheiz- und anklappbarAussenspiegel in WagenfarbeBordwerkzeug und WagenheberEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugInnenspiegel automatisch abblendbarKlima: 2-Zonen-KomfortklimaautomatikLackierung: Metallic-LackierungArrow down iconMehr anzeigen","4.8 l/100 km","","","Ja","15.06.2022","","","","","Ja","","","08.2020","AMAG Volketswil"
"1733064580-49","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=3","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-s-line-attraction-12019559","AUDI A1 Sportback 30 TFSI S Line Attraction","CHF 34'900.–","20 km","Automatikgetriebe","10.2024","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: RückfahrkameraAssist: SpurwechselwarnungDachhimmel in Stoff schwarzDekor: Interieurelemente in KunstlederEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugKlima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Mittelarmlehne vornePaket: AssistenzpaketPaket: Kontur / Ambiente Lichtpaket, mehrfarbigArrow down iconMehr anzeigen","5.7 l/100 km","","","Ja","Nein","","","","","Ja","[EA5] Anschlussgarantie 4. Jahr, max. 80'000 km, (netto)
[A41] Audi Swiss Service Package+
[2Y2Y] gletscherweiss-gletscherweiss
[D32] Kundenvorteil Paket ""Infotainment"" (2024 - WKC)
[9VD] Audi ...","","10.2024","AMAG Kreuzlingen"
"1733064583-50","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=3","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-12002088","AUDI A1 Sportback 30 TFSI Attraction","CHF 27'900.–","10'900 km","Automatikgetriebe","11.2023","Vorderradantrieb","Benzin","110 PS (81 kW)","AusstattungenOptionale AusstattungMittelarmlehne vornePaket: GepäckraumpaketSerienmässige Ausstattung3-Punkt-Sicherheitsgurte auf allen PlätzenABSAirbag: Airbag Beifahrer deaktivierbarAirbag: Airbag FahrerAirbag: Seitenairbags vorneAirbag: Window-KopfairbagsAssist: Audi pre sense frontAssist: BerganfahrassistentArrow down iconMehr anzeigen","5.7 l/100 km","","","Ja","Nein","","","","","Ja","","CH-Fahrzeug mit Servicepaket","11.2023","AMAG Volketswil"
"1733064585-51","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=3","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-12006577","AUDI A1 Sportback 30 TFSI Attraction","CHF 29'900.–","25 km","Automatikgetriebe","11.2024","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugKlima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Mittelarmlehne vornePaket: LichtpaketPolster : advanced mit Sportsitz (Stoff Novum)Räder: Aluminium-Gussräder - 16 Zoll - im 10-Speichen-DesignSitze: Sportsitze vorneMedia: 6 LautsprecherSitze: Lendenwirbelstütze, manuell einstellbar in VordersitzlehnenSerienmässige Ausstattung3-Punkt-Sicherheitsgurte auf allen PlätzenArrow down iconMehr anzeigen","5.6 l/100 km","","","Ja","Nein","","","","","Nein","","Leasing 2.99% ab Fr. 275.- monatlich - Tageszulassung ohne Kilometer","11.2024","AMAG Biel/Bienne"
"1733064588-52","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=3","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-12006583","AUDI A1 Sportback 30 TFSI Attraction","CHF 29'900.–","25 km","Automatikgetriebe","11.2024","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusEntfall Modellbezeichnung und Leistungs- / Technologie-SchriftzugKlima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Mittelarmlehne vornePaket: LichtpaketPolster : advanced mit Sportsitz (Stoff Novum)Räder: Aluminium-Gussräder - 16 Zoll - im 10-Speichen-DesignSitze: Sportsitze vorneMedia: 6 LautsprecherSitze: Lendenwirbelstütze, manuell einstellbar in VordersitzlehnenSerienmässige Ausstattung3-Punkt-Sicherheitsgurte auf allen PlätzenArrow down iconMehr anzeigen","5.6 l/100 km","","","Ja","Nein","","","","","Nein","","Leasing 2.99% ab Fr. 275.- monatlich - Tageszulassung ohne Kilometer","11.2024","AMAG Biel/Bienne"
"1733064590-53","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=3","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-12008836","AUDI A1 Sportback 30 TFSI Attraction","CHF 34'900.–","10 km","Automatikgetriebe","11.2024","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusAssist: RückfahrkameraDachhimmel in Stoff schwarzKomfortschlüssel (ohne Safelock)Lenkrad: Sportkontur-Lederlenkrad im 3-Speichen-Design unten abgeflacht mit Multifunktion plusMittelarmlehne vornePaket: Kontrastpaket 2Paket: S line mit Sportsitz (Stoff Puls / Kunstleder mono.pur 550- Kombination schwarz)Dachhimmel in Stoff schwarzEinstiegsleisten mit Aluminiumeinlegern vorne, unbeleuchtet, mit S-SchriftzugFussmatten vorne und hintenSitze: Sportsitze vorneRäder: Aluminium-Gussräder - 18 Zoll - Audi Sport, 5-Y-Speichen, schwarz metallic, glanzgedreht,Sitze: Sportsitze vorneMedia: 6 LautsprecherSitze: Lendenwirbelstütze, manuell einstellbar in VordersitzlehnenArrow down iconMehr anzeigen","5.7 l/100 km","","","Ja","Nein","","","","","Nein","","","11.2024","AMAG Etoy"
"1733064592-54","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=3","","https://www.autoscout24.ch/de/d/audi-a1-city-carver-30-tfsi-s-tronic-12011808","AUDI A1 City Carver 30 TFSI S-tronic","CHF 23'400.–","38'600 km","Automatikgetriebe","03.2021","Vorderradantrieb","Benzin","110 PS (81 kW)","AusstattungenOptionale AusstattungAssist: Einparkhilfe hintenAssist: GeschwindigkeitsregelanlageAssist: RückfahrkameraAudi virtual cockpitAussenspiegel elektrisch einstell-, beheiz- und anklappbarInnenspiegel automatisch abblendbarKomfortschlüssel (ohne Safelock)Lenkrad: Lederlenkrad im 3-Speichen-Design mit Multifunktion plusLicht: LED-Scheinwerfer und LED-Heckleuchten mit dynamischem BlinklichtMedia: Audi Smartphone InterfaceArrow down iconMehr anzeigen","6.9 l/100 km","","","Ja","Nein","","","","","Nein","[EA5] Estensione garanzia +1 anno, fino a 80'000 km, (netto)
[0E0E] nero mytha-nero mytha

Incl. pacchetto consegna - 538922- Audi è sinonimo di vetture sportive, fabbricazione di prima qualità ...","","03.2021","AMAG Automobili e motori SA"
"1733064595-55","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=3","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-s-line-attraction-12028568","AUDI A1 Sportback 30 TFSI S Line Attraction","CHF 39'400.–","15 km","Automatikgetriebe","Neues Fahrzeug","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: RückfahrkameraAssist: SpurwechselwarnungDachhimmel in Stoff schwarzEntfall Leistungs- / Technologie-SchriftzugGarantie: Audi Garantie: 4 Jahre oder 80'000 km (ab 1. Inv.)Klima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Media: SONOS Premium SoundsystemMittelarmlehne vornePaket: AssistenzpaketArrow down iconMehr anzeigen","-","","","Ja","Nein","","","","","Ja","[WF6] Paquet Technologie
[WKC] Paquet ""Infotainment"" (brut)
[4ZP] Paquet optique noir plus
[A41] Audi Swiss Service Package+
[D32] Bénéfice client paquet ""Infotainment"" (2024 - WKC)
[TV] ...","","Neues Fahrzeug","Autocorner Audi Lutry"
"1733064597-56","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=3","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-s-line-attraction-12028575","AUDI A1 Sportback 30 TFSI S Line Attraction","CHF 37'300.–","15 km","Automatikgetriebe","Neues Fahrzeug","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: Einparkhilfe plusAssist: RückfahrkameraDachhimmel in Stoff schwarzEntfall Leistungs- / Technologie-SchriftzugGarantie: Audi Garantie: 4 Jahre oder 80'000 km (ab 1. Inv.)Klima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Lackierung: Dachkuppel in KontrastfarbeLenkrad: Sportkontur-Lederlenkrad im 3-Speichen-Design unten abgeflacht mit Multifunktion plusMittelarmlehne vorneArrow down iconMehr anzeigen","5.7 l/100 km","","","Ja","Nein","","","","","Ja","[WF6] Paquet Technologie
[9VD] Audi Sound System
[3GD] Paquet coffre à bagages
[TV] noir - argent fin (S line)
[A41] Audi Swiss Service Package+
[1X0E] gris flèche-noir mythe
[0VB] Papiers ...","","Neues Fahrzeug","Autocorner Audi Lutry"
"1733064599-57","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=3","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-attraction-12028588","AUDI A1 Sportback 30 TFSI Attraction","CHF 34'400.–","15 km","Automatikgetriebe","Neues Fahrzeug","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: RückfahrkameraAssist: SpurwechselwarnungDekor: Aluminiumoptik im InterieurEntfall Leistungs- / Technologie-SchriftzugGarantie: Audi Garantie: 4 Jahre oder 80'000 km (ab 1. Inv.)Klima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Lenkrad: Lederlenkrad im 3-Speichen-Design mit Multifunktion plus und SchaltwippenMittelarmlehne vornePaket: AssistenzpaketArrow down iconMehr anzeigen","5.6 l/100 km","","","Ja","Nein","","","","","Ja","[0VB] Papiers français
[0E0E] noir mythe-noir mythe
[9VD] Audi Sound System
[3GD] Paquet coffre à bagages
[WKC] Paquet ""Infotainment"" (brut)
[WF6] Paquet Technologie
[A41] Audi Swiss Service ...","","Neues Fahrzeug","Autocorner Audi Lutry"
"1733064606-58","https://www.autoscout24.ch/de/s/mo-a1/mk-audi?pagination%5Bpage%5D=3","","https://www.autoscout24.ch/de/d/audi-a1-sportback-30-tfsi-s-line-attraction-12028622","AUDI A1 Sportback 30 TFSI S Line Attraction","CHF 38'300.–","15 km","Automatikgetriebe","11.2024","Vorderradantrieb","Benzin","115 PS (85 kW)","AusstattungenOptionale AusstattungAssist: RückfahrkameraDachhimmel in Stoff schwarzEntfall Leistungs- / Technologie-SchriftzugGarantie: Audi Garantie: 4 Jahre oder 80'000 km (ab 1. Inv.)Klima: 2-Zonen-KomfortklimaautomatikKomfortschlüssel (ohne Safelock)Media: SONOS Premium SoundsystemPaket: AssistenzpaketPaket: Kontur / Ambiente Lichtpaket, mehrfarbigPaket: S line mit Sportsitz (Stoff Puls / Kunstleder mono.pur 550- Kombination schwarz)Dachhimmel in Stoff schwarzEinstiegsleisten mit Aluminiumeinlegern vorne, unbeleuchtet, mit S-SchriftzugFussmatten vorne und hintenSitze: Sportsitze vorneArrow down iconMehr anzeigen","-","","","Ja","Nein","","","","","Ja","[A41] Audi Swiss Service Package+
[3GD] Paquet coffre à bagages
[WKC] Paquet ""Infotainment"" (brut)
[0VB] Papiers français
[WF6] Paquet Technologie
[TV] noir - argent fin (S line)
[D32] ...","","11.2024","Autocorner Audi Lutry"
